task_id,task_type,success,steps
trial_T20190908_222917_366542,look_at_obj_in_light-AlarmClock-None-DeskLamp-308,1,5
trial_T20190908_222933_607649,look_at_obj_in_light-AlarmClock-None-DeskLamp-308,1,5
trial_T20190908_222951_616606,look_at_obj_in_light-AlarmClock-None-DeskLamp-308,1,3
trial_T20190906_214631_761426,look_at_obj_in_light-BaseballBat-None-DeskLamp-308,0,0
trial_T20190906_214648_973919,look_at_obj_in_light-BaseballBat-None-DeskLamp-308,0,0
trial_T20190906_214706_219505,look_at_obj_in_light-BaseballBat-None-DeskLamp-308,0,0
trial_T20190907_161210_531813,look_at_obj_in_light-BasketBall-None-DeskLamp-308,0,0
trial_T20190907_161235_786153,look_at_obj_in_light-BasketBall-None-DeskLamp-308,0,0
trial_T20190907_161252_926204,look_at_obj_in_light-BasketBall-None-DeskLamp-308,0,0
trial_T20190908_020029_636862,look_at_obj_in_light-Book-None-DeskLamp-308,1,29
trial_T20190908_020048_814402,look_at_obj_in_light-Book-None-DeskLamp-308,1,25
trial_T20190908_144951_587345,look_at_obj_in_light-Book-None-DeskLamp-308,1,15
trial_T20190907_133919_856963,look_at_obj_in_light-Bowl-None-DeskLamp-308,1,5
trial_T20190907_133935_066606,look_at_obj_in_light-Bowl-None-DeskLamp-308,1,5
trial_T20190907_133953_562557,look_at_obj_in_light-Bowl-None-DeskLamp-308,1,6
trial_T20190907_102952_001375,look_at_obj_in_light-Box-None-FloorLamp-219,0,0
trial_T20190907_103005_855069,look_at_obj_in_light-Box-None-FloorLamp-219,0,0
trial_T20190907_103041_110705,look_at_obj_in_light-Box-None-FloorLamp-219,0,0
trial_T20190908_141942_810052,look_at_obj_in_light-CD-None-DeskLamp-308,1,24
trial_T20190908_141958_463362,look_at_obj_in_light-CD-None-DeskLamp-308,1,22
trial_T20190908_142046_281296,look_at_obj_in_light-CD-None-DeskLamp-308,1,19
trial_T20190908_044113_026049,look_at_obj_in_light-CellPhone-None-FloorLamp-219,0,0
trial_T20190908_044123_416784,look_at_obj_in_light-CellPhone-None-FloorLamp-219,0,0
trial_T20190908_044139_261907,look_at_obj_in_light-CellPhone-None-FloorLamp-219,0,0
trial_T20190909_103553_077615,look_at_obj_in_light-CreditCard-None-FloorLamp-219,0,0
trial_T20190909_103610_740356,look_at_obj_in_light-CreditCard-None-FloorLamp-219,0,0
trial_T20190909_103628_479585,look_at_obj_in_light-CreditCard-None-FloorLamp-219,0,0
trial_T20190909_103507_522012,look_at_obj_in_light-KeyChain-None-FloorLamp-219,0,0
trial_T20190909_103526_341991,look_at_obj_in_light-KeyChain-None-FloorLamp-219,0,0
trial_T20190909_103543_580765,look_at_obj_in_light-KeyChain-None-FloorLamp-219,0,0
trial_T20190906_180831_140621,look_at_obj_in_light-Laptop-None-FloorLamp-219,0,0
trial_T20190906_180922_517529,look_at_obj_in_light-Laptop-None-FloorLamp-219,0,0
trial_T20190906_181009_893506,look_at_obj_in_light-Laptop-None-FloorLamp-219,0,0
trial_T20190908_161733_213242,look_at_obj_in_light-Mug-None-DeskLamp-308,1,7
trial_T20190908_201421_021646,look_at_obj_in_light-Mug-None-DeskLamp-308,1,3
trial_T20190908_201444_037645,look_at_obj_in_light-Mug-None-DeskLamp-308,1,11
trial_T20190907_170955_824797,look_at_obj_in_light-Newspaper-None-FloorLamp-219,0,0
trial_T20190907_171015_909996,look_at_obj_in_light-Newspaper-None-FloorLamp-219,0,0
trial_T20190907_171035_866841,look_at_obj_in_light-Newspaper-None-FloorLamp-219,0,0
trial_T20190908_220545_153480,look_at_obj_in_light-Pencil-None-DeskLamp-308,1,5
