task_id,task_type,success,steps
trial_T20190906_185459_653538,pick_and_place_simple-BaseballBat-None-Bed-308,0,0
trial_T20190906_185515_986084,pick_and_place_simple-BaseballBat-None-Bed-308,0,0
trial_T20190906_185530_954329,pick_and_place_simple-BaseballBat-None-Bed-308,0,0
trial_T20190908_125200_737896,pick_and_place_simple-Mug-None-Desk-308,1,8
trial_T20190909_203041_433487,pick_and_place_simple-Mug-None-Desk-308,1,9
trial_T20190909_210238_431966,pick_and_place_simple-Mug-None-Desk-308,1,4
trial_T20190908_121952_610012,pick_and_place_simple-Pencil-None-Shelf-308,1,4
trial_T20190908_122024_052056,pick_and_place_simple-Pencil-None-Shelf-308,1,4
trial_T20190908_122154_042763,pick_and_place_simple-Pencil-None-Shelf-308,1,4
trial_T20190906_184021_215264,pick_and_place_simple-PepperShaker-None-Drawer-10,1,7
trial_T20190918_154326_823501,pick_and_place_simple-PepperShaker-None-Drawer-10,1,5
trial_T20190918_154424_844749,pick_and_place_simple-PepperShaker-None-Drawer-10,1,5
trial_T20190908_021510_064551,pick_and_place_simple-Plunger-None-Cabinet-424,0,0
trial_T20190908_021537_611374,pick_and_place_simple-Plunger-None-Cabinet-424,0,0
trial_T20190908_062908_529599,pick_and_place_simple-Plunger-None-Cabinet-424,0,0
trial_T20190906_191429_743650,pick_and_place_simple-SaltShaker-None-Cabinet-10,1,8
trial_T20190906_191445_723170,pick_and_place_simple-SaltShaker-None-Cabinet-10,1,7
trial_T20190906_191501_563086,pick_and_place_simple-SaltShaker-None-Cabinet-10,1,5
trial_T20190909_021613_077537,pick_and_place_simple-SaltShaker-None-Drawer-10,1,13
trial_T20190909_021650_880235,pick_and_place_simple-SaltShaker-None-Drawer-10,1,19
trial_T20190909_021728_339782,pick_and_place_simple-SaltShaker-None-Drawer-10,1,7
trial_T20190907_004321_405868,pick_and_place_simple-SoapBottle-None-Toilet-424,1,4
trial_T20190907_004351_281384,pick_and_place_simple-SoapBottle-None-Toilet-424,1,6
trial_T20190907_004404_604165,pick_and_place_simple-SoapBottle-None-Toilet-424,1,4
trial_T20190908_205204_244321,pick_and_place_simple-Vase-None-Safe-219,1,7
trial_T20190908_205221_748352,pick_and_place_simple-Vase-None-Safe-219,1,18
trial_T20190908_205246_776817,pick_and_place_simple-Vase-None-Safe-219,1,11
trial_T20190907_074524_006355,pick_and_place_simple-Watch-None-Safe-219,1,5
trial_T20190907_074556_124850,pick_and_place_simple-Watch-None-Safe-219,1,6
trial_T20190907_074643_810052,pick_and_place_simple-Watch-None-Safe-219,1,28
