task_id,task_type,success,steps
trial_T20190909_061130_844814,pick_clean_then_place_in_recep-Bowl-None-Cabinet-10,1,20
trial_T20190909_061158_110530,pick_clean_then_place_in_recep-Bowl-None-Cabinet-10,1,7
trial_T20190909_061232_368489,pick_clean_then_place_in_recep-Bowl-None-Cabinet-10,1,15
trial_T20190908_022321_380927,pick_clean_then_place_in_recep-Cloth-None-Cabinet-424,0,34
trial_T20190908_022345_347148,pick_clean_then_place_in_recep-Cloth-None-Cabinet-424,0,0
trial_T20190908_022436_073995,pick_clean_then_place_in_recep-Cloth-None-Cabinet-424,1,20
trial_T20190908_100512_362932,pick_clean_then_place_in_recep-Cloth-None-CounterTop-424,0,0
trial_T20190908_100632_546757,pick_clean_then_place_in_recep-Cloth-None-CounterTop-424,1,34
trial_T20190908_114340_674467,pick_clean_then_place_in_recep-Cloth-None-CounterTop-424,1,7
trial_T20190909_120554_888709,pick_clean_then_place_in_recep-Egg-None-Microwave-10,1,28
trial_T20190909_120632_691361,pick_clean_then_place_in_recep-Egg-None-Microwave-10,1,24
trial_T20190909_120712_273910,pick_clean_then_place_in_recep-Egg-None-Microwave-10,1,8
trial_T20190909_110347_624008,pick_clean_then_place_in_recep-Knife-None-CounterTop-10,1,13
trial_T20190909_110445_675754,pick_clean_then_place_in_recep-Knife-None-CounterTop-10,1,13
trial_T20190909_110531_148235,pick_clean_then_place_in_recep-Knife-None-CounterTop-10,1,15
trial_T20190908_115403_911841,pick_clean_then_place_in_recep-LettuceSliced-None-GarbageCan-10,1,34
trial_T20190908_115651_521111,pick_clean_then_place_in_recep-LettuceSliced-None-GarbageCan-10,1,27
trial_T20190918_143430_997524,pick_clean_then_place_in_recep-LettuceSliced-None-GarbageCan-10,1,14
trial_T20190907_221208_560499,pick_clean_then_place_in_recep-Mug-None-CoffeeMachine-10,1,15
trial_T20190907_221300_362511,pick_clean_then_place_in_recep-Mug-None-CoffeeMachine-10,1,9
trial_T20190907_221355_558505,pick_clean_then_place_in_recep-Mug-None-CoffeeMachine-10,1,16
trial_T20190908_032434_013084,pick_clean_then_place_in_recep-Pan-None-CounterTop-10,1,31
trial_T20190908_032518_891433,pick_clean_then_place_in_recep-Pan-None-CounterTop-10,1,49
trial_T20190908_032543_712058,pick_clean_then_place_in_recep-Pan-None-CounterTop-10,1,16
trial_T20190908_213356_017769,pick_clean_then_place_in_recep-Plate-None-CounterTop-10,1,6
trial_T20190908_213420_728917,pick_clean_then_place_in_recep-Plate-None-CounterTop-10,1,6
trial_T20190908_213533_897289,pick_clean_then_place_in_recep-Plate-None-CounterTop-10,1,9
trial_T20190908_214926_337906,pick_clean_then_place_in_recep-SoapBar-None-Cabinet-424,1,16
trial_T20190908_214946_567644,pick_clean_then_place_in_recep-SoapBar-None-Cabinet-424,1,16
trial_T20190908_215019_162873,pick_clean_then_place_in_recep-SoapBar-None-Cabinet-424,0,46
trial_T20190907_074045_109439,pick_clean_then_place_in_recep-SoapBar-None-CounterTop-424,0,3
trial_T20190907_074106_050405,pick_clean_then_place_in_recep-SoapBar-None-CounterTop-424,1,13
trial_T20190907_074124_966890,pick_clean_then_place_in_recep-SoapBar-None-CounterTop-424,1,23
trial_T20190907_080730_211959,pick_clean_then_place_in_recep-Spatula-None-Drawer-10,1,14
trial_T20190907_080800_275989,pick_clean_then_place_in_recep-Spatula-None-Drawer-10,1,14
trial_T20190907_080825_222432,pick_clean_then_place_in_recep-Spatula-None-Drawer-10,1,13
