task_id,task_type,success,steps
trial_T20190908_091747_866951,pick_cool_then_place_in_recep-Bread-None-CounterTop-10,1,15
trial_T20190908_091811_414150,pick_cool_then_place_in_recep-Bread-None-CounterTop-10,1,14
trial_T20190908_091835_825830,pick_cool_then_place_in_recep-Bread-None-CounterTop-10,1,12
trial_T20190906_224631_058932,pick_cool_then_place_in_recep-BreadSliced-None-Microwave-10,1,19
trial_T20190906_224718_745017,pick_cool_then_place_in_recep-BreadSliced-None-Microwave-10,1,21
trial_T20190906_224843_443882,pick_cool_then_place_in_recep-BreadSliced-None-Microwave-10,1,38
trial_T20190907_173120_648218,pick_cool_then_place_in_recep-Egg-None-SinkBasin-10,1,13
trial_T20190907_173149_648833,pick_cool_then_place_in_recep-Egg-None-SinkBasin-10,0,50
trial_T20190907_173215_875825,pick_cool_then_place_in_recep-Egg-None-SinkBasin-10,1,37
trial_T20190909_123133_763972,pick_cool_then_place_in_recep-Lettuce-None-CounterTop-10,1,13
trial_T20190909_174807_646433,pick_cool_then_place_in_recep-Lettuce-None-CounterTop-10,1,11
trial_T20190909_174840_771703,pick_cool_then_place_in_recep-Lettuce-None-CounterTop-10,1,12
trial_T20190907_040233_171346,pick_cool_then_place_in_recep-Lettuce-None-SinkBasin-10,1,11
trial_T20190907_040303_217739,pick_cool_then_place_in_recep-Lettuce-None-SinkBasin-10,1,11
trial_T20190907_040327_147149,pick_cool_then_place_in_recep-Lettuce-None-SinkBasin-10,1,11
trial_T20190908_204424_983859,pick_cool_then_place_in_recep-LettuceSliced-None-GarbageCan-10,1,16
trial_T20190909_213642_049125,pick_cool_then_place_in_recep-LettuceSliced-None-GarbageCan-10,1,18
trial_T20190909_213855_654145,pick_cool_then_place_in_recep-LettuceSliced-None-GarbageCan-10,1,17
trial_T20190909_121559_082363,pick_cool_then_place_in_recep-Mug-None-Cabinet-10,0,50
trial_T20190909_121635_622676,pick_cool_then_place_in_recep-Mug-None-Cabinet-10,1,9
trial_T20190909_121710_650938,pick_cool_then_place_in_recep-Mug-None-Cabinet-10,1,12
trial_T20190907_183715_299073,pick_cool_then_place_in_recep-Mug-None-CoffeeMachine-10,1,10
trial_T20190907_183807_477267,pick_cool_then_place_in_recep-Mug-None-CoffeeMachine-10,1,15
trial_T20190907_183853_958104,pick_cool_then_place_in_recep-Mug-None-CoffeeMachine-10,1,9
trial_T20190908_114545_244903,pick_cool_then_place_in_recep-Pan-None-CounterTop-10,0,50
trial_T20190908_114622_738670,pick_cool_then_place_in_recep-Pan-None-CounterTop-10,1,9
trial_T20190908_114656_768805,pick_cool_then_place_in_recep-Pan-None-CounterTop-10,0,50
trial_T20190907_033157_424297,pick_cool_then_place_in_recep-Potato-None-Microwave-10,0,50
trial_T20190907_033228_194678,pick_cool_then_place_in_recep-Potato-None-Microwave-10,1,21
trial_T20190907_033306_962974,pick_cool_then_place_in_recep-Potato-None-Microwave-10,1,25
trial_T20190909_102608_318800,pick_cool_then_place_in_recep-Tomato-None-Microwave-10,0,50
trial_T20190909_102644_926781,pick_cool_then_place_in_recep-Tomato-None-Microwave-10,1,23
trial_T20190909_102710_795182,pick_cool_then_place_in_recep-Tomato-None-Microwave-10,1,12
trial_T20190909_061805_153515,pick_cool_then_place_in_recep-TomatoSliced-None-CounterTop-10,1,17
trial_T20190909_061838_159982,pick_cool_then_place_in_recep-TomatoSliced-None-CounterTop-10,1,19
trial_T20190909_062026_099967,pick_cool_then_place_in_recep-TomatoSliced-None-CounterTop-10,0,50
