task_id,task_type,success,steps
trial_T20190906_182259_116320,pick_heat_then_place_in_recep-Apple-None-Fridge-10,1,32
trial_T20190906_182353_418140,pick_heat_then_place_in_recep-Apple-None-Fridge-10,0,47
trial_T20190906_182435_622538,pick_heat_then_place_in_recep-Apple-None-Fridge-10,1,23
trial_T20190908_145050_918567,pick_heat_then_place_in_recep-Apple-None-GarbageCan-10,1,13
trial_T20190908_145143_820541,pick_heat_then_place_in_recep-Apple-None-GarbageCan-10,1,9
trial_T20190908_145356_918528,pick_heat_then_place_in_recep-Apple-None-GarbageCan-10,1,42
trial_T20190907_020258_749030,pick_heat_then_place_in_recep-Apple-None-SinkBasin-10,0,41
trial_T20190907_020329_050110,pick_heat_then_place_in_recep-Apple-None-SinkBasin-10,1,10
trial_T20190907_020403_745438,pick_heat_then_place_in_recep-Apple-None-SinkBasin-10,1,18
trial_T20190908_131500_521936,pick_heat_then_place_in_recep-AppleSliced-None-CounterTop-10,1,39
trial_T20190908_131635_504536,pick_heat_then_place_in_recep-AppleSliced-None-CounterTop-10,1,22
trial_T20190910_122059_929600,pick_heat_then_place_in_recep-AppleSliced-None-CounterTop-10,1,27
trial_T20190908_073656_715770,pick_heat_then_place_in_recep-AppleSliced-None-GarbageCan-10,1,15
trial_T20190908_073749_086690,pick_heat_then_place_in_recep-AppleSliced-None-GarbageCan-10,1,16
trial_T20190908_073839_704604,pick_heat_then_place_in_recep-AppleSliced-None-GarbageCan-10,1,15
trial_T20190908_025158_582174,pick_heat_then_place_in_recep-BreadSliced-None-CounterTop-10,1,42
trial_T20190908_025303_695053,pick_heat_then_place_in_recep-BreadSliced-None-CounterTop-10,1,29
trial_T20190908_025420_586121,pick_heat_then_place_in_recep-BreadSliced-None-CounterTop-10,0,45
trial_T20190907_083346_800823,pick_heat_then_place_in_recep-Cup-None-Cabinet-10,1,24
trial_T20190907_083429_887065,pick_heat_then_place_in_recep-Cup-None-Cabinet-10,1,33
trial_T20190907_083507_594820,pick_heat_then_place_in_recep-Cup-None-Cabinet-10,0,43
trial_T20190908_113432_673307,pick_heat_then_place_in_recep-Egg-None-GarbageCan-10,1,11
trial_T20190908_113523_123938,pick_heat_then_place_in_recep-Egg-None-GarbageCan-10,1,31
trial_T20190908_113610_425142,pick_heat_then_place_in_recep-Egg-None-GarbageCan-10,1,12
trial_T20190909_021100_341887,pick_heat_then_place_in_recep-Mug-None-Cabinet-10,1,9
trial_T20190909_021200_669381,pick_heat_then_place_in_recep-Mug-None-Cabinet-10,1,28
trial_T20190909_021247_306737,pick_heat_then_place_in_recep-Mug-None-Cabinet-10,0,46
trial_T20190907_171806_406231,pick_heat_then_place_in_recep-Mug-None-CoffeeMachine-10,1,17
trial_T20190907_171850_960211,pick_heat_then_place_in_recep-Mug-None-CoffeeMachine-10,0,42
trial_T20190907_171933_349922,pick_heat_then_place_in_recep-Mug-None-CoffeeMachine-10,0,44
trial_T20190907_161745_664033,pick_heat_then_place_in_recep-Potato-None-GarbageCan-10,1,26
trial_T20190907_161817_163233,pick_heat_then_place_in_recep-Potato-None-GarbageCan-10,1,43
trial_T20190907_161853_945788,pick_heat_then_place_in_recep-Potato-None-GarbageCan-10,1,10
trial_T20190909_123732_489327,pick_heat_then_place_in_recep-PotatoSliced-None-Fridge-10,0,45
trial_T20190909_123918_983775,pick_heat_then_place_in_recep-PotatoSliced-None-Fridge-10,1,35
trial_T20190909_124126_852630,pick_heat_then_place_in_recep-PotatoSliced-None-Fridge-10,1,33
trial_T20190908_225046_020282,pick_heat_then_place_in_recep-Tomato-None-GarbageCan-10,1,9
trial_T20190908_225359_617900,pick_heat_then_place_in_recep-Tomato-None-GarbageCan-10,1,11
trial_T20190908_225453_272533,pick_heat_then_place_in_recep-Tomato-None-GarbageCan-10,1,8
trial_T20190909_025340_208825,pick_heat_then_place_in_recep-TomatoSliced-None-SinkBasin-10,1,17
trial_T20190909_025529_706272,pick_heat_then_place_in_recep-TomatoSliced-None-SinkBasin-10,0,46
trial_T20190910_160038_224287,pick_heat_then_place_in_recep-TomatoSliced-None-SinkBasin-10,1,17
