task_id,task_type,success,steps
trial_T20190907_061009_396474,pick_two_obj_and_place-AppleSliced-None-CounterTop-10,0,49
trial_T20190907_061133_385225,pick_two_obj_and_place-AppleSliced-None-CounterTop-10,0,50
trial_T20190907_061347_004735,pick_two_obj_and_place-AppleSliced-None-CounterTop-10,0,50
trial_T20190907_050942_897916,pick_two_obj_and_place-CD-None-Safe-308,1,23
trial_T20190907_051013_060265,pick_two_obj_and_place-CD-None-Safe-308,0,50
trial_T20190907_051056_585414,pick_two_obj_and_place-CD-None-Safe-308,0,50
trial_T20190909_011803_423115,pick_two_obj_and_place-KeyChain-None-Safe-219,1,45
trial_T20190909_011850_153676,pick_two_obj_and_place-KeyChain-None-Safe-219,0,50
trial_T20190909_012027_782483,pick_two_obj_and_place-KeyChain-None-Safe-219,1,46
trial_T20190908_010306_215435,pick_two_obj_and_place-PepperShaker-None-Drawer-10,1,29
trial_T20190912_221016_460197,pick_two_obj_and_place-PepperShaker-None-Drawer-10,1,12
trial_T20190912_221141_608117,pick_two_obj_and_place-PepperShaker-None-Drawer-10,1,13
trial_T20190907_163240_345855,pick_two_obj_and_place-Pillow-None-Sofa-219,1,27
trial_T20190907_163327_486300,pick_two_obj_and_place-Pillow-None-Sofa-219,1,23
trial_T20190907_163408_914117,pick_two_obj_and_place-Pillow-None-Sofa-219,1,26
trial_T20190909_081720_491733,pick_two_obj_and_place-SoapBar-None-Cabinet-424,1,27
trial_T20190909_081746_857594,pick_two_obj_and_place-SoapBar-None-Cabinet-424,1,12
trial_T20190909_081814_796540,pick_two_obj_and_place-SoapBar-None-Cabinet-424,1,11
trial_T20190909_064053_839817,pick_two_obj_and_place-SoapBar-None-GarbageCan-424,1,10
trial_T20190909_064221_368939,pick_two_obj_and_place-SoapBar-None-GarbageCan-424,1,12
trial_T20190909_064309_357168,pick_two_obj_and_place-SoapBar-None-GarbageCan-424,1,22
trial_T20190906_202903_584090,pick_two_obj_and_place-ToiletPaper-None-Cabinet-424,0,50
trial_T20190906_202926_527010,pick_two_obj_and_place-ToiletPaper-None-Cabinet-424,1,10
trial_T20190906_203003_627271,pick_two_obj_and_place-ToiletPaper-None-Cabinet-424,0,50
